test_case,quantity,method_name,total_time,cumulative_time,per_call_time
HST,100,SplitPoints,0.0005279,0.0007091,0.0007091
HST,100,SplitPoints,0.0005466000000000001,0.000723,0.000723
HST,100,SplitPoints,0.0005111,0.0006914,0.0006914
HST,100,SplitPoints,0.0007466,0.0009212000000000001,0.0009212000000000001
HST,100,SplitPoints,0.0005911,0.0008694000000000001,0.0008694000000000001
HST,100,SplitPoints,0.000524,0.0006999,0.0006999
HST,100,SplitPoints,0.0012954000000000002,0.0014613,0.0014613
HST,100,SplitPoints,0.0009662000000000001,0.0011577,0.0011577
HST,100,SplitPoints,0.0005293,0.0007195000000000001,0.0007195000000000001
HST,100,SplitPoints,0.0005224,0.0006845,0.0006845
HST,500,SplitPoints,0.004438500000000001,0.0056127,0.0056127
HST,500,SplitPoints,0.00285,0.0037252,0.0037252
HST,500,SplitPoints,0.002542,0.0033549,0.0033549
HST,500,SplitPoints,0.0027839,0.0033727,0.0033727
HST,500,SplitPoints,0.0019679000000000003,0.0028306000000000004,0.0028306000000000004
HST,500,SplitPoints,0.0024245,0.0031519,0.0031519
HST,500,SplitPoints,0.0024947000000000003,0.0032340000000000003,0.0032340000000000003
HST,500,SplitPoints,0.0022761,0.0029614000000000003,0.0029614000000000003
HST,500,SplitPoints,0.0020482,0.0027225,0.0027225
HST,500,SplitPoints,0.0040109,0.0051533,0.0051533
HST,1000,SplitPoints,0.0039107000000000005,0.0053035,0.0053035
HST,1000,SplitPoints,0.004551,0.005955,0.005955
HST,1000,SplitPoints,0.0042247000000000005,0.0056181,0.0056181
HST,1000,SplitPoints,0.0042559,0.005691600000000001,0.005691600000000001
HST,1000,SplitPoints,0.005604100000000001,0.0069693,0.0069693
HST,1000,SplitPoints,0.0049641,0.0065095000000000005,0.0065095000000000005
HST,1000,SplitPoints,0.0053490000000000005,0.006912000000000001,0.006912000000000001
HST,1000,SplitPoints,0.005497800000000001,0.0072411,0.0072411
HST,1000,SplitPoints,0.0055569,0.0070914,0.0070914
HST,1000,SplitPoints,0.0049372,0.006344600000000001,0.006344600000000001
HST,2000,SplitPoints,0.014008600000000001,0.0177391,0.0177391
HST,2000,SplitPoints,0.0097955,0.013278100000000001,0.013278100000000001
HST,2000,SplitPoints,0.012601800000000002,0.0158604,0.0158604
HST,2000,SplitPoints,0.0093291,0.011921500000000002,0.011921500000000002
HST,2000,SplitPoints,0.0098776,0.013179300000000001,0.013179300000000001
HST,2000,SplitPoints,0.0102471,0.013082600000000002,0.013082600000000002
HST,2000,SplitPoints,0.010551600000000001,0.0144866,0.0144866
HST,2000,SplitPoints,0.0143566,0.0191091,0.0191091
HST,2000,SplitPoints,0.010629300000000001,0.013664200000000001,0.013664200000000001
HST,2000,SplitPoints,0.0114725,0.014648900000000001,0.014648900000000001
HST,3000,SplitPoints,0.0198959,0.024868900000000003,0.024868900000000003
HST,3000,SplitPoints,0.0168896,0.0219045,0.0219045
HST,3000,SplitPoints,0.018903100000000003,0.024499700000000003,0.024499700000000003
HST,3000,SplitPoints,0.0183427,0.0254307,0.0254307
HST,3000,SplitPoints,0.014113700000000002,0.018723200000000002,0.018723200000000002
HST,3000,SplitPoints,0.0162669,0.0210692,0.0210692
